ds,payment_status,payment_type,company_size,subscription_length,previous_subscription_length,license_count,billings_per_license,billings,last_updated,data_type
2025-04,Completed,New,Micro (<10),1-month,none,3.2182673581930533e-06,0.0,0.0,2025-03-31,forecast
2025-04,Completed,New,Micro (<10),1-year,none,941.7406246680198,50.20666666666667,49054.719790259434,2025-03-31,forecast
2025-04,Completed,New,Micro (<10),2-year,none,440.990400960185,88.16000000000001,40335.62801422429,2025-03-31,forecast
2025-04,Completed,New,Micro (<10),3-year,none,23.67181400341195,57.52333333333333,1412.7447093050434,2025-03-31,forecast
2025-04,Completed,New,Small (10-49),1-month,none,2.6610803936152825e-18,0.0,0.0,2025-03-31,forecast
2025-04,Completed,New,Small (10-49),1-year,none,1034.678569219905,41.36666666666667,44406.24861056579,2025-03-31,forecast
2025-04,Completed,New,Small (10-49),2-year,none,519.6023852661806,84.89999999999999,45768.52660318993,2025-03-31,forecast
2025-04,Completed,New,Small (10-49),3-year,none,250.37070100949649,115.24666666666668,29936.4282994289,2025-03-31,forecast
2025-04,Completed,New,Mid (50-249),1-month,none,7.181950866934314,0.0,0.0,2025-03-31,forecast
2025-04,Completed,New,Mid (50-249),1-year,none,404.6680423325922,48.38666666666666,20314.807837812183,2025-03-31,forecast
2025-04,Completed,New,Mid (50-249),2-year,none,130.87187036117626,96.58,13113.590435962997,2025-03-31,forecast
2025-04,Completed,New,Mid (50-249),3-year,none,258.90742671143846,98.49666666666668,26457.825450308024,2025-03-31,forecast
2025-04,Completed,New,Large (>249),1-month,none,0.0,0.0,0.0,2025-03-31,forecast
2025-04,Completed,New,Large (>249),1-year,none,167.8174748743004,15.48,2695.2325552187017,2025-03-31,forecast
2025-04,Completed,New,Large (>249),2-year,none,109.75557891165884,17.28,1967.69801872822,2025-03-31,forecast
2025-04,Completed,New,Large (>249),3-year,none,229.52058405890915,0.0,0.0,2025-03-31,forecast
2025-04,Refunded,New,Micro (<10),1-month,none,0.330901902356374,0.0,0.0,2025-03-31,forecast
2025-04,Refunded,New,Micro (<10),1-year,none,27.73825550847038,0.0,0.0,2025-03-31,forecast
2025-04,Refunded,New,Micro (<10),2-year,none,18.3817619383842,0.0,0.0,2025-03-31,forecast
2025-04,Refunded,New,Micro (<10),3-year,none,0.552748862387866,0.0,0.0,2025-03-31,forecast
2025-04,Refunded,New,Small (10-49),1-month,none,0.0,0.0,0.0,2025-03-31,forecast
2025-04,Refunded,New,Small (10-49),1-year,none,33.13752227325606,0.0,0.0,2025-03-31,forecast
2025-04,Refunded,New,Small (10-49),2-year,none,31.506234292417883,0.0,0.0,2025-03-31,forecast
2025-04,Refunded,New,Small (10-49),3-year,none,0.1882673889702301,0.0,0.0,2025-03-31,forecast
2025-04,Refunded,New,Mid (50-249),1-month,none,0.0,0.0,0.0,2025-03-31,forecast
2025-04,Refunded,New,Mid (50-249),1-year,none,4.654267321055147,0.0,0.0,2025-03-31,forecast
2025-04,Refunded,New,Mid (50-249),2-year,none,8.026047773504889,0.0,0.0,2025-03-31,forecast
2025-04,Refunded,New,Mid (50-249),3-year,none,2.549351413993856,0.0,0.0,2025-03-31,forecast
2025-04,Refunded,New,Large (>249),1-month,none,0.0,0.0,0.0,2025-03-31,forecast
2025-04,Refunded,New,Large (>249),1-year,none,4.1447646997819945,0.0,0.0,2025-03-31,forecast
2025-04,Refunded,New,Large (>249),2-year,none,0.0,0.0,0.0,2025-03-31,forecast
2025-04,Refunded,New,Large (>249),3-year,none,0.0,0.0,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Micro (<10),1-month,1-month,10.5411733079908,6.39,93.78941487275644,2025-03-31,forecast
2025-04,Completed,Renewal,Micro (<10),1-month,1-year,0.0,7.286666666666666,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Micro (<10),1-month,2-year,1.7777777777777777,2.13,5.272554666666666,2025-03-31,forecast
2025-04,Completed,Renewal,Micro (<10),1-month,3-year,0.0,0.0,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Micro (<10),1-year,1-month,4.9949341438703145,15.96,111.00094297872344,2025-03-31,forecast
2025-04,Completed,Renewal,Micro (<10),1-year,1-year,692.4477253366748,50.54666666666666,48735.287074247426,2025-03-31,forecast
2025-04,Completed,Renewal,Micro (<10),1-year,2-year,8.810732105660222,52.5,644.0733276558678,2025-03-31,forecast
2025-04,Completed,Renewal,Micro (<10),1-year,3-year,9.490374873353597,21.706666666666667,286.84053201485983,2025-03-31,forecast
2025-04,Completed,Renewal,Micro (<10),2-year,1-month,108.10615372009175,53.10999999999999,7994.48941824074,2025-03-31,forecast
2025-04,Completed,Renewal,Micro (<10),2-year,1-year,33.448257224345596,100.28333333333336,4670.531119369649,2025-03-31,forecast
2025-04,Completed,Renewal,Micro (<10),2-year,2-year,108.5029889669758,86.09333333333335,13006.943077139917,2025-03-31,forecast
2025-04,Completed,Renewal,Micro (<10),2-year,3-year,4.4276690205893745,12.923333333333334,79.67346585576513,2025-03-31,forecast
2025-04,Completed,Renewal,Micro (<10),3-year,1-month,0.0,0.0,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Micro (<10),3-year,1-year,0.0,116.87666666666668,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Micro (<10),3-year,2-year,0.0,124.49,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Micro (<10),3-year,3-year,0.0,39.02333333333333,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Small (10-49),1-month,1-month,5.428537766434957,3.99,30.1591969840763,2025-03-31,forecast
2025-04,Completed,Renewal,Small (10-49),1-month,1-year,4.057971014492754,0.0,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Small (10-49),1-month,2-year,0.0,0.0,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Small (10-49),1-month,3-year,0.0,0.0,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Small (10-49),1-year,1-month,39.261904761904766,0.0,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Small (10-49),1-year,1-year,1315.248291724346,46.71666666666667,85554.64791792889,2025-03-31,forecast
2025-04,Completed,Renewal,Small (10-49),1-year,2-year,85.56279664836481,45.17666666666667,5382.241361782639,2025-03-31,forecast
2025-04,Completed,Renewal,Small (10-49),1-year,3-year,0.0,0.0,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Small (10-49),2-year,1-month,24.729659716628255,0.0,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Small (10-49),2-year,1-year,121.95941707326976,91.98666666666668,15620.834677388411,2025-03-31,forecast
2025-04,Completed,Renewal,Small (10-49),2-year,2-year,77.31092321010199,85.63666666666666,9218.592726709245,2025-03-31,forecast
2025-04,Completed,Renewal,Small (10-49),2-year,3-year,0.0,0.0,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Small (10-49),3-year,1-month,0.0,0.0,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Small (10-49),3-year,1-year,0.0,123.14333333333332,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Small (10-49),3-year,2-year,0.0,45.46666666666667,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Small (10-49),3-year,3-year,0.0,0.0,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Mid (50-249),1-month,1-month,23.68941893295656,0.0,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Mid (50-249),1-month,1-year,31.310581067043437,0.0,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Mid (50-249),1-month,2-year,0.0,0.0,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Mid (50-249),1-month,3-year,0.0,0.0,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Mid (50-249),1-year,1-month,168.14997703640591,0.0,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Mid (50-249),1-year,1-year,482.01000269317353,52.06333333333333,34942.34405575619,2025-03-31,forecast
2025-04,Completed,Renewal,Mid (50-249),1-year,2-year,129.84002027042058,0.0,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Mid (50-249),1-year,3-year,0.0,0.0,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Mid (50-249),2-year,1-month,0.0,0.0,0.0,2025-03-31,forecast
2025-04,Completed,Renewal,Mid (50-249),2-year,1-year,60.75365180329437,61.46,5199.1094280199495,2025-03-31,forecast
2025-04,Completed,Renewal,Mid (50-249),2-year,2-year,64.24634819670564,37.166666666666664,3324.804199347954,2025-03-31,forecast
2025-04,Completed,Renewal,Mid (50-249),2-year,3-year,0.0,0.0,0.0,2025-03-31,forecast
